Day,Date,Fajr,Dhuhr,Asr,Maghrib,Isha,Taraweeh,Quran Pages,Total Pages,Charity,Good Deed,Grateful For,Mood,Reflection
1,,No,No,No,No,No,No,0,0,0,,,,
2,,No,No,No,No,No,No,0,0,0,,,,
3,,No,No,No,No,No,No,0,0,0,,,,
4,,No,No,No,No,No,No,0,0,0,,,,
5,,No,No,No,No,No,No,0,0,0,,,,
6,,No,No,No,No,No,No,0,0,0,,,,
7,,No,No,No,No,No,No,0,0,0,,,,
8,,No,No,No,No,No,No,0,0,0,,,,
9,,No,No,No,No,No,No,0,0,0,,,,
10,,No,No,No,No,No,No,0,0,0,,,,
11,,No,No,No,No,No,No,0,0,0,,,,
12,,No,No,No,No,No,No,0,0,0,,,,
13,,No,No,No,No,No,No,0,0,0,,,,
14,,No,No,No,No,No,No,0,0,0,,,,
15,,No,No,No,No,No,No,0,0,0,,,,
16,,No,No,No,No,No,No,0,0,0,,,,
17,,No,No,No,No,No,No,0,0,0,,,,
18,,No,No,No,No,No,No,0,0,0,,,,
19,,No,No,No,No,No,No,0,0,0,,,,
20,,No,No,No,No,No,No,0,0,0,,,,
21,,No,No,No,No,No,No,0,0,0,,,,
22,,No,No,No,No,No,No,0,0,0,,,,
23,,No,No,No,No,No,No,0,0,0,,,,
24,,No,No,No,No,No,No,0,0,0,,,,
25,,No,No,No,No,No,No,0,0,0,,,,
26,,No,No,No,No,No,No,0,0,0,,,,
27,,No,No,No,No,No,No,0,0,0,,,,
28,,No,No,No,No,No,No,0,0,0,,,,
29,,No,No,No,No,No,No,0,0,0,,,,
30,,No,No,No,No,No,No,0,0,0,,,,
