Day,Title,Arabic,Transliteration,Meaning,Why This Dua,Special
1,Guidance & Self-Sufficiency,اللَّهُمَّ إِنِّي أَسْأَلُكَ الْهُدَى وَالتُّقَى وَالْعَفَافَ وَالْغِنَى,Allahumma inni as'aluka al-huda wa al-tuqa wa al-'afafa wa al-ghina,"O Allah, I ask You for guidance, piety, chastity, and self-sufficiency.",Start the month asking for the foundations of a good life.,No
2,Good in Both Worlds,رَبَّنَا آتِنَا فِي الدُّنْيَا حَسَنَةً وَفِي الْآخِرَةِ حَسَنَةً وَقِنَا عَذَابَ النَّارِ,Rabbana atina fi al-dunya hasanatan wa fi al-akhirati hasanatan wa qina 'adhab al-nar,"Our Lord, give us good in this world and good in the Hereafter, and protect us from the Fire.",The Prophet ﷺ made this dua frequently. It covers everything.,No
3,Relief from Worry,اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْهَمِّ وَالْحَزَنِ,Allahumma inni a'udhu bika min al-hammi wa al-hazan,"O Allah, I seek refuge in You from worry and grief.",Let go of anxiety. Give your worries to Allah.,No
4,Ease in Affairs,رَبِّ اشْرَحْ لِي صَدْرِي وَيَسِّرْ لِي أَمْرِي,Rabbi ishrah li sadri wa yassir li amri,"My Lord, expand my chest and ease my affairs.",Musa's dua before speaking to Pharaoh. Ask for ease in everything.,No
5,Help in Worship,اللَّهُمَّ أَعِنِّي عَلَى ذِكْرِكَ وَشُكْرِكَ وَحُسْنِ عِبَادَتِكَ,Allahumma a'inni 'ala dhikrika wa shukrika wa husni 'ibadatik,"O Allah, help me remember You, be grateful to You, and worship You well.",The Prophet ﷺ taught this to Mu'adh. The core of worship.,No
6,Knowledge Provision & Acceptance,اللَّهُمَّ إِنِّي أَسْأَلُكَ عِلْمًا نَافِعًا وَرِزْقًا طَيِّبًا وَعَمَلًا مُتَقَبَّلًا,Allahumma inni as'aluka 'ilman nafi'an wa rizqan tayyiban wa 'amalan mutaqabbala,"O Allah, I ask You for beneficial knowledge, good provision, and accepted deeds.",Made after Fajr. Covers knowledge wealth and deeds.,No
7,Protection of Guidance,رَبَّنَا لَا تُزِغْ قُلُوبَنَا بَعْدَ إِذْ هَدَيْتَنَا وَهَبْ لَنَا مِن لَّدُنكَ رَحْمَةً,Rabbana la tuzigh qulubana ba'da idh hadaytana wa hab lana min ladunka rahmah,"Our Lord, do not let our hearts deviate after You have guided us, and grant us mercy.",Protect your guidance. Hearts can change.,No
8,Complete Forgiveness,اللَّهُمَّ اغْفِرْ لِي ذَنْبِي كُلَّهُ دِقَّهُ وَجِلَّهُ وَأَوَّلَهُ وَآخِرَهُ,Allahumma ighfir li dhanbi kullahu diqqahu wa jillahu wa awwalahu wa akhirah,"O Allah, forgive all my sins — small and great, first and last.",Leave no sin behind. Ask for complete forgiveness.,No
9,Paradise & Protection from Fire,اللَّهُمَّ إِنِّي أَسْأَلُكَ الْجَنَّةَ وَأَعُوذُ بِكَ مِنَ النَّارِ,Allahumma inni as'aluka al-jannah wa a'udhu bika min al-nar,"O Allah, I ask You for Paradise and seek refuge from the Fire.",Simple. Powerful. The ultimate ask.,No
10,Rectify My Religion,اللَّهُمَّ أَصْلِحْ لِي دِينِي الَّذِي هُوَ عِصْمَةُ أَمْرِي,Allahumma aslih li dini alladhi huwa 'ismatu amri,"O Allah, set right my religion which is the safeguard of my affairs.",Your deen protects everything else.,No
11,Gratitude,رَبِّ أَوْزِعْنِي أَنْ أَشْكُرَ نِعْمَتَكَ الَّتِي أَنْعَمْتَ عَلَيَّ,Rabbi awzi'ni an ashkura ni'mataka allati an'amta 'alayya,"My Lord, enable me to be grateful for Your favor which You bestowed upon me.",Sulayman's dua. Gratitude unlocks more blessings.,No
12,Protection from Evil,اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنْ شَرِّ مَا عَمِلْتُ وَمِنْ شَرِّ مَا لَمْ أَعْمَلْ,Allahumma inni a'udhu bika min sharri ma 'amiltu wa min sharri ma lam a'mal,"O Allah, I seek refuge in You from the evil of what I have done and what I have not done.",Protection from consequences of actions.,No
13,All Good,اللَّهُمَّ إِنِّي أَسْأَلُكَ مِنَ الْخَيْرِ كُلِّهِ عَاجِلِهِ وَآجِلِهِ,Allahumma inni as'aluka min al-khayri kullihi 'ajilihi wa ajilihi,"O Allah, I ask You for all good — immediate and in the future.",Comprehensive. Covers all good now and later.,No
14,Righteous Family,رَبَّنَا هَبْ لَنَا مِنْ أَزْوَاجِنَا وَذُرِّيَّاتِنَا قُرَّةَ أَعْيُنٍ,Rabbana hab lana min azwajina wa dhurriyyatina qurrata a'yun,"Our Lord, grant us from our spouses and offspring comfort to our eyes.",For family. Ask for righteous spouse and children.,No
15,Good Endings (HALFWAY!),اللَّهُمَّ أَحْسِنْ عَاقِبَتَنَا فِي الْأُمُورِ كُلِّهَا,Allahumma ahsin 'aqibatana fi al-umuri kulliha,"O Allah, make good the end of all our affairs.",Halfway through Ramadan! Ask for a strong finish.,Yes
16,Against Laziness,اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْعَجْزِ وَالْكَسَلِ,Allahumma inni a'udhu bika min al-'ajzi wa al-kasal,"O Allah, I seek refuge in You from inability and laziness.",Fight the mid-Ramadan slump. Ask for energy.,No
17,Guidance & Steadfastness,اللَّهُمَّ اهْدِنِي وَسَدِّدْنِي,Allahumma ihdini wa saddidni,"O Allah, guide me and keep me on the right path.",Short and powerful.,No
18,Increase in Knowledge,رَبِّ زِدْنِي عِلْمًا,Rabbi zidni 'ilma,"My Lord, increase me in knowledge.",The ONLY thing Allah told the Prophet ﷺ to ask for more of.,No
19,Love of Allah,اللَّهُمَّ إِنِّي أَسْأَلُكَ حُبَّكَ وَحُبَّ مَنْ يُحِبُّكَ,Allahumma inni as'aluka hubbaka wa hubba man yuhibbuk,"O Allah, I ask You for Your love and the love of those who love You.",Love of Allah is the highest station.,No
20,Reaching Laylatul Qadr,اللَّهُمَّ بَلِّغْنَا لَيْلَةَ الْقَدْرِ,Allahumma ballighna laylat al-qadr,"O Allah, let us reach Laylatul Qadr.",Last 10 nights begin! Ask to reach them.,Yes
21,THE Laylatul Qadr Dua ⭐,اللَّهُمَّ إِنَّكَ عَفُوٌّ تُحِبُّ الْعَفْوَ فَاعْفُ عَنِّي,Allahumma innaka 'afuwwun tuhibbul 'afwa fa'fu 'anni,"O Allah, You are Forgiving and love forgiveness, so forgive me.",Prophet ﷺ taught this to Aisha for Laylatul Qadr. REPEAT EVERY ODD NIGHT.,Yes
22,Steadfastness,اللَّهُمَّ إِنِّي أَسْأَلُكَ الثَّبَاتَ فِي الْأَمْرِ,Allahumma inni as'aluka al-thabata fi al-amr,"O Allah, I ask You for steadfastness in my affairs.",Stay strong. Don't fade in the final stretch.,No
23,Laylatul Qadr Dua ⭐,اللَّهُمَّ إِنَّكَ عَفُوٌّ تُحِبُّ الْعَفْوَ فَاعْفُ عَنِّي,Allahumma innaka 'afuwwun tuhibbul 'afwa fa'fu 'anni,"O Allah, You are Forgiving and love forgiveness, so forgive me.",Odd night! Go all in with duas tonight.,Yes
24,Best Ending,اللَّهُمَّ اجْعَلْ خَيْرَ عُمُرِي آخِرَهُ وَخَيْرَ عَمَلِي خَوَاتِمَهُ,Allahumma ij'al khayra 'umuri akhirahu wa khayra 'amali khawatimah,"O Allah, make the best of my life its end, and the best of my deeds their conclusion.",The ending matters most. Finish strong.,No
