Juz,Pages,Target Day,Started,Completed,Done
1,1-20,Day 1,,,No
2,21-40,Day 2,,,No
3,41-60,Day 3,,,No
4,61-80,Day 4,,,No
5,81-100,Day 5,,,No
6,101-120,Day 6,,,No
7,121-140,Day 7,,,No
8,141-160,Day 8,,,No
9,161-180,Day 9,,,No
10,181-200,Day 10,,,No
11,201-220,Day 11,,,No
12,221-240,Day 12,,,No
13,241-260,Day 13,,,No
14,261-280,Day 14,,,No
15,281-300,Day 15,,,No
16,301-320,Day 16,,,No
17,321-340,Day 17,,,No
18,341-360,Day 18,,,No
19,361-380,Day 19,,,No
20,381-400,Day 20,,,No
21,401-420,Day 21,,,No
22,421-440,Day 22,,,No
23,441-460,Day 23,,,No
24,461-480,Day 24,,,No
25,481-500,Day 25,,,No
26,501-520,Day 26,,,No
27,521-540,Day 27,,,No
28,541-560,Day 28,,,No
29,561-580,Day 29,,,No
30,581-604,Day 30,,,No
